"","x"
"406",-0.229645872
"407",-0.015830664
"408",0.051157539
"409",0.015642041
"410",0.03693649
"411",0.226381547
"412",-0.231838529
"413",0.01922743
"414",0.056771296
"415",-0.032391496
"416",-0.047555749
"417",-0.028972404
"418",-0.003483313
"419",0.038119838
"420",0.048154099
"421",-0.040415552
"422",0.087278008
"423",0.022728251
"424",0.037510733
"425",-0.029868887
"426",-0.022922328
"427",-0.02894672
"428",0.029733991
"429",-0.128883325
"430",0.095698605
"431",0.02123222
"432",0.103725574
"433",-0.092640934
"434",0.061633798
"435",0.067734881
"436",-0.037661355
"437",0.031632808
"438",0.004864944
"439",0.049071894
"440",0.042181614
"441",0.168335315
"442",0.066987383
"443",0.055313638
"444",-0.492968006
"445",-0.011173301
"446",-0.346582344
"447",-0.016073825
"448",0.007024615
"449",-0.00724266
"450",0.009852296
"451",-0.053079383
"452",-0.018462063
"453",0.033267696
"454",0.037463451
"455",0
"456",0.039622929
"457",0.086139309
"458",0.027848997
"459",-0.091667189
"460",0.039130424
"461",-0.017318116
"462",0.002763705
"463",0.033522692
"464",0.027895306
"465",0.044657151
"466",-0.008298803
"467",0.061875404
"468",0.029684477
"469",-0.040614719
"470",0.043357371
"471",0.029352424
"472",0.03738174
"473",-0.119534043
"474",-0.025890013
"475",-0.121026632
"476",0.037297321
"477",-0.040869669
"478",-0.167908948
"479",-0.035891836
"480",-0.026833223
"481",-0.019705071
"482",-0.052446475
"483",-0.03184751
"484",-0.207504657
"485",0.125345808
"486",0.111362615
"487",-0.094446355
"488",0.116062732
"489",0.026428302
"490",-0.035233498
"491",0.027229071
"492",-0.105955783
"493",0.096611553
"494",0.033453697
"495",-0.087011377
"496",0.25415938
"497",0.025001302
"498",0.052337525
"499",0.039148278
"500",-0.000548306
"501",0.122119472
"502",0.066505605
"503",0.106160196
"504",0.051912925
"505",0.047852905
"506",-0.080852097
"507",-0.04471303
"508",0.220633877
"509",0.079673881
"510",0.007322657
"511",0.028034757
"512",0.024467015
"513",-0.002663117
"514",0.004662131
"515",0.053948138
"516",0.051123857
"517",0.023523452
"518",0
"519",-0.038031384
"520",0.015207666
"521",-0.035220806
"522",0.019062435
"523",0.083899774
"524",-0.036160355
"525",0.00648396
"526",0.036221263
"527",-0.029580034
"528",-0.088696297
"529",0.041188504
"530",0.048386421
"531",-0.075242617
"532",-0.215042889
"533",-0.259986716
"534",-0.097030152
"535",0.004620201
"536",-0.114113307
"537",-0.010418152
"538",0.256024753
"539",-0.114581644
"540",-0.022130672
"541",0.02570028
"542",-0.288576196
"543",-0.059805669
"544",-0.052797194
"545",-0.35364004
"546",0.009700362
"547",0.035299527
"548",0.085630733
"549",-0.318190192
"550",0.016515652
"551",-0.135477938
"552",0.090549057
"553",-0.061950589
"554",0.068423481
"555",-0.076489611
"556",0.047166483
"557",-0.021046744
"558",0.007226045
"559",-0.028999377
"560",0.209570374
"561",-0.015113638
"562",0.020733992
"563",0.018703058
"564",-0.098675746
"565",0.047223127
"566",-0.127833372
"567",0.037020492
"568",-0.114790941
"569",0.104039438
"570",-0.052922401
"571",0.018888735
"572",0.003283305
"573",0.045646463
"574",0.024759617
"575",0.10175085
"576",0.04630607
"577",-0.005203828
"578",-0.021158226
"579",0.012447806
"580",-0.163789309
"581",0.065223218
"582",0.018300364
"583",0.038854346
"584",-0.032494414
"585",-0.009517586
"586",-0.025730679
"587",0.066975334
"588",0.002666668
"589",0.06256761
"590",0.044171218
"591",-0.080082543
"592",-0.022960192
"593",0.018342073
"594",0.019009523
"595",-0.024735857
"596",0.097748681
"597",0.010736852
"598",-0.01086449
"599",-0.061875404
"600",0.072506691
"601",-0.039954674
"602",-0.031056345
"603",-0.021119506
"604",-0.050661455
"605",0.018829008
"606",-0.392254876
"607",0.003791617
"608",-0.009265453
"609",-0.353749707
"610",0.087304991
"611",-0.352090648
"612",0.062650965
"613",0.056274867
"614",0.019383553
"615",0.051880436
"616",-0.146338839
"617",-0.119135864
"618",-0.089440342
"619",-0.018603077
"620",0.033384121
"621",-0.07917803
"622",-0.016023649
"623",-0.029599347
"624",0.067135049
"625",0.015979886
"626",-0.009926597
"627",0.073015776
"628",0.014205846
"629",-0.045841487
"630",-0.007572857
"631",-0.008921696
"632",-0.02193914
"633",-0.02556482
"634",-0.47957308
"635",0.045217606
"636",0.02762847
"637",0.010483775
"638",-0.071413218
"639",-0.006282145
"640",0.196988878
"641",-0.210700306
"642",-0.009608529
"643",0.02447853
"644",0.139917563
"645",0.051136924
"646",0.025096446
"647",0.107558824
"648",-0.012013773
"649",-0.228071081
"650",0.060901134
"651",0.063648202
"652",-0.018447125
"653",-0.011313408
"654",-0.042232764
"655",-0.032493833
"656",-0.143698251
"657",0.180583937
"658",0.08730658
"659",0.035718083
"660",0.00139656
"661",0.018110866
"662",-0.041879522
"663",0.011145626
"664",0.00458086
"665",0.079784766
"666",0.080526166
"667",0.027648305
"668",0.088504216
"669",-0.098680934
"670",0.158176828
"671",0.133668603
"672",-0.096992266
"673",-0.046140304
"674",-0.086966251
"675",-0.05495072
"676",0.030771659
"677",0.525818408
"678",0.03039218
"679",-0.026375946
"680",0.071291113
"681",-0.208254939
"682",-0.01715962
"683",0.021244483
"684",-0.000858922
"685",0.020284671
"686",0.001306905
"687",-0.018600634
"688",-0.19498612
"689",0.082924735
"690",0.07537855
"691",0.00654022
"692",0.075824826
"693",0.004000539
"694",0.088056149
"695",-0.052185753
"696",0.031071187
"697",0.004301082
"698",-0.084906599
"699",0.005716821
"700",-0.068426563
"701",0.033657809
"702",-0.061797053
"703",0.062362634
"704",-0.05267756
"705",-0.019493795
"706",-0.100955222
"707",0.113015009
"708",0.043309091
"709",-0.24946086
"710",-0.37609303
"711",0.03360152
"712",-0.037745872
"713",0.645519132
"714",0.019450616
"715",0.057507132
"716",-0.177612574
"717",-0.085724541
"718",-0.174584574
"719",0.099498131
"720",-0.029211699
"721",-0.013930299
"722",-0.071340711
"723",-0.007651703
"724",0.042375735
"725",0.062131781
"726",-0.079343752
"727",-0.062034035
"728",0.016070826
"729",-0.006700446
"730",0.021774083
"731",0.03466145
"732",-0.004738835
"733",0.062478788
